"model"	"type_id"	"id"	"kategorie"	"rodina"	"typ"	"t_aed_klasifikace"	"t_aed_system"	"t_oznaceni_typu"	"t_popis"
TERN_1201_DSP_D11_SO01_FAC	"1360385"	"3632224"	Stěny	Základní stěna	BA_EXT_EPS200	STE	SKLADBA		Fasádní zateplovací systém 200 mm + ext. omítka
TERN_1201_DSP_D11_SO01_FAC	"3694936"	"3631596"	Stěny	Základní stěna	BA_EXT_TEP I. 200 + GRC	STE	SKLADBA		Fasádní zateplovací systém 200 mm + vz. m 100 mm. + sklovláknobeton 13 mm
TERN_1201_DSP_D11_SO01_FAC	"3904490"	"3631538"	Stěny	Základní stěna	BA_EXT_TEP I. 200 + oplechovani_dilatace	STE	SKLADBA		TEP IZOLACE OPLECHOVANI
TERN_1201_DSP_D11_SO01_FAC	"3853419"	"3850970"	Stěny	Základní stěna	BA_EXT_terace 2	LOP	SOUC		TEP IZOLACE + ALUCOBOND
TERN_1201_DSP_D11_SO01_FAC	"3695878"	"3695761"	Stěny	Základní stěna	BA_EXT_terace attic	STE	SOUC		TEP IZOLACE + ALUCOBOND
TERN_1201_DSP_D11_SO01_FAC	"3848016"	"3635855"	Stěny	Základní stěna	BA_garage wall	STE	SKLADBA	"02"	
TERN_1201_DSP_D11_SO01_ASR	"4900515"	"4901326"	Stěny	Základní stěna	H.I. atika_primar	PDE	SKLADBA		Hydroizolace, asfaltový pás
TERN_1201_DSP_D11_SO01_ASR	"5023220"	"5023346"	Stěny	Základní stěna	IZOLET_120 mm	STI	SKLADBA		Zateplení stropu suterénu, Izolet 120 mm
TERN_1201_DSP_D12_SO01_SKR	"4558920"	"4023708"	Stěny	Základní stěna	K_st_zb_180_np	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4564783"	"4688912"	Stěny	Základní stěna	K_st_zb_180_pp	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4384052"	"4223398"	Stěny	Základní stěna	K_st_zb_200_ate	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4384053"	"4000340"	Stěny	Základní stěna	K_st_zb_200_np	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4788978"	"4777142"	Stěny	Základní stěna	K_st_zb_200_np2_ati	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4558917"	"4558877"	Stěny	Základní stěna	K_st_zb_240_np	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4460715"	"4199227"	Stěny	Základní stěna	K_st_zb_240_pp	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4715486"	"4271972"	Stěny	Základní stěna	K_st_zb_250_ate	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4387287"	"3999534"	Stěny	Základní stěna	K_st_zb_250_np	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4788982"	"4776911"	Stěny	Základní stěna	K_st_zb_250_np2_ati	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4384072"	"4041544"	Stěny	Základní stěna	K_st_zb_250_pp	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4387395"	"4133031"	Stěny	Základní stěna	K_st_zb_250_pp_vs	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4794624"	"4776219"	Stěny	Základní stěna	K_st_zb_250_pp2_ati	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4384223"	"4047614"	Stěny	Základní stěna	K_st_zb_300_pp_vs	KST	ZB		
TERN_1201_DSP_D12_SO01_SKR	"4387397"	"4047609"	Stěny	Základní stěna	K_st_zb_500_pp_vs	KST	ZB		
TERN_1201_DSP_D11_SO01_ASR	"5235676"	"5235864"	Stěny	Základní stěna	Pomocná_stěna_dveře 200	NEVYKAZOVAT			
TERN_1201_DSP_D11_SO01_ASR	"5347016"	"4590491"	Stěny	Základní stěna	Pomocná_stěna_dveře 240	NEVYKAZOVAT			
TERN_1201_DSP_D11_SO01_ASR	"4581205"	"4581334"	Stěny	Základní stěna	Pomocná_stěna_dveře 250	NEVYKAZOVAT			
TERN_1201_DSP_D11_SO01_ASR	"4954330"	"4954394"	Stěny	Základní stěna	Prosklená_příčka_100	PS	SYS		
TERN_1201_DSP_D11_SO01_ASR	"4767020"	"3978448"	Stěny	Základní stěna	SDK příčka, tl 150mm, pož. odolnost EI90	STI	SKLADBA	K.13	Sádrokartonová příčka tl. 150 mm s pož. odolností EI90
TERN_1201_DSP_D11_SO01_ASR	"4767272"	"3973510"	Stěny	Základní stěna	SDK příčka, tl. 100mm, bez požadavku na požární odolnost	STI	SKLADBA	K.01	Sádrokartonová příčka tl. 100 mm
TERN_1201_DSP_D11_SO01_ASR	"4767207"	"3972461"	Stěny	Základní stěna	SDK příčka, tl.150mm, bez požadavku na požární odolnost	STI	SKLADBA	K.02	Sádrokartonová příčka tl. 150 mm
TERN_1201_DSP_D11_SO01_ASR	"4767344"	"3974440"	Stěny	Základní stěna	SDK šachetní stěna, tl.120mm, pož. odolnost EI90	STI	SKLADBA	K.52	Sádrokartonová příčka tl. 120 mm s požární odolností EI90
TERN_1201_DSP_D11_SO01_ASR	"4917778"	"4915547"	Stěny	Základní stěna	T.I. sokl střech	STE	SKLADBA		Skladba tepelné izolace v soklové části atiky tl. 200mm
TERN_1201_DSP_D11_SO01_ASR	"4914071"	"4914259"	Stěny	Základní stěna	T.I. sokl_atika	STE	SKLADBA		Skladba tepelné izolace v soklové části atiky tl. 120mm
TERN_1201_DSP_D11_SO01_FAC	"3758352"	"3758563"	Stěny	Základní stěna	Wall-Ext_200_Zastena	STE	SKLADBA	"06"	Ocelová kce. + plný kovový panel na roštu
TERN_1201_DSP_D144_SO01_ESI	"1845226"	"7003766"	Elektrická tělesa	Zasuvka_230V_MOMP	"230V"	KABK	SIL		
TERN_1201_DSP_D144_SO01_ESI	"3390047"	"7012529"	Elektrická tělesa	Zasuvka_DATA	"2x_RJ45"	KABK	ESL		
TERN_1201_DSP_D144_SO01_ESI	"6998578"	"6952140"	Elektrická tělesa	Zasuvka_DATA nástěnná (2019)	"1xRJ45 na povrch"	KABK	ESL		
TERN_1201_DSP_D144_SO01_ESI	"6998580"	"6954281"	Elektrická tělesa	Zasuvka_DATA nástěnná (2019)	"2xRJ45 na povrch"	KABK	ESL		
TERN_1201_DSP_D11_SO01_ASR	"5461775"	"5462224"	Obecné modely	Zavora	ZÁVORA	TZKO	OV		ZÁVORA
TERN_1201_DSP_D11_SO01_ASR	"5463032"	"5463070"	Obecné modely	Zavora_sloupek autorizace	TERMINÁL PARKING	TZKO	OV		TERMINÁL PARKING
TERN_1201_DSP_D144_SO01_ESI	"5341013"	"7002654"	Elektrická tělesa	ZS_230V nástěnná (2019)	Zásuvka IP20	KABK	SIL		
TERN_1201_DSP_D144_SO01_ESI	"5997969"	"7203208"	Elektrická tělesa	ZS_230V nástěnná (2019)	Zásuvka IP44				
TERN_1201_DSP_D144_SO01_ESI	"7164292"	"7165622"	Elektrická tělesa	ZS_400V v2 (2019)	Zásuvka 1x16A/400V 5P	KABK	SIL		
TERN_1201_DSP_D144_SO01_ESI	"7003712"	"7003714"	Elektrická tělesa	ZS_skříně	ZS_skříně	KABK	SIL		
