"model"	"id"	"type_id"	"kategorie"	"rodina"	"typ"	"aed_klasifikace"
TERN_1201_DSP_D143_SO01_VZT	"1462144"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1462158"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1462190"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1462200"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1462321"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1462370"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1462419"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1462464"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463609"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463610"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463612"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463614"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463616"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463618"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463621"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463622"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463623"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463624"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463625"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463627"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463629"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463631"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463633"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463635"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463637"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463638"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463640"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463642"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463644"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463646"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463648"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463649"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463650"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463651"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463652"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463653"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463655"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463657"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463659"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463661"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463663"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463666"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463668"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463670"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463672"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463674"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463675"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463677"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463678"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463679"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463680"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463681"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463686"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463688"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463690"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463692"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1463889"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464016"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464025"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464039"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464051"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464064"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464375"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464436"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464484"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464496"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464508"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464520"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464614"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1464665"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1465229"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466233"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466317"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466515"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466580"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466600"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466621"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466630"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466663"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466683"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466763"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466773"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466785"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466799"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466813"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1466953"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1467042"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1467148"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1467353"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1467541"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1467679"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1467811"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1468179"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1468199"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1468228"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1468248"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1468263"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1468702"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1468714"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1468726"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
TERN_1201_DSP_D143_SO01_VZT	"1468736"	"1342257"	Potrubí	Hranaté potrubí	Pozink_Odbočka	
